colony,treatment,emigration,ID,age,colour
42,choice,3,gpg,new,none
42,choice,3,gwo,new,none
42,choice,3,gwp,new,none
42,choice,3,ooy,new,none
42,choice,3,opo,new,none
42,choice,3,pwp,new,none
42,choice,3,wgp,new,none
42,choice,3,wpw,new,none
42,choice,3,www,new,none
42,choice,3,yoo,new,none
42,choice,3,yoy,new,blue
42,choice,3,yyp,new,none
45,no_choice,1,bgo,dead,blue
45,no_choice,1,gwb,old,blue
45,no_choice,1,gyb,old,blue
45,no_choice,1,oby,old,blue
45,no_choice,1,owo,old,blue
45,no_choice,1,oyw,old,blue
45,no_choice,1,wbw,dead,none
45,no_choice,1,wgb,old,blue
45,no_choice,1,wog,old,blue
45,no_choice,1,wwy,dead,blue
45,no_choice,1,wyo,old,blue
45,no_choice,1,ybo,old,blue
45,no_choice,1,ygw,old,blue
45,no_choice,1,yoy,old,blue
45,no_choice,1,ywg,old,blue
45,no_choice,1,yyb,old,blue
45,no_choice,1,bbb,new,none
45,no_choice,1,bgy,new,none
45,no_choice,1,bow,new,none
45,no_choice,1,bwo,new,none
45,no_choice,1,bww,new,none
45,no_choice,1,byb,new,none
45,no_choice,1,byy,new,none
45,no_choice,1,gbo,new,none
45,no_choice,1,ggw,new,none
45,no_choice,1,ggy,new,none
45,no_choice,1,gog,new,none
45,no_choice,1,gow,new,none
45,no_choice,1,gwg,new,none
45,no_choice,1,obb,new,none
45,no_choice,1,ogg,new,none
45,no_choice,1,oob,new,none
45,no_choice,1,pwp,new,none
45,no_choice,1,wbo,new,none
45,no_choice,1,wby,new,none
45,no_choice,1,woo,new,none
45,no_choice,2,bgo,dead,none
45,no_choice,2,gwb,old,yellow
45,no_choice,2,gyb,old,none
45,no_choice,2,oby,old,yellow
45,no_choice,2,owo,old,yellow
45,no_choice,2,oyw,old,yellow
45,no_choice,2,wbw,dead,none
45,no_choice,2,wgb,old,yellow
45,no_choice,2,wog,old,none
45,no_choice,2,wwy,dead,none
45,no_choice,2,wyo,old,yellow
45,no_choice,2,ybo,old,yellow
45,no_choice,2,ygw,old,yellow
45,no_choice,2,yoy,old,none
45,no_choice,2,ywg,old,none
45,no_choice,2,yyb,old,none
45,no_choice,2,bbb,new,none
45,no_choice,2,bgy,new,none
45,no_choice,2,bow,new,none
45,no_choice,2,bwo,new,none
45,no_choice,2,bww,new,yellow
45,no_choice,2,byb,new,none
45,no_choice,2,byy,new,yellow
45,no_choice,2,gbo,new,none
45,no_choice,2,ggw,new,none
45,no_choice,2,ggy,new,none
45,no_choice,2,gog,new,none
45,no_choice,2,gow,new,none
45,no_choice,2,gwg,new,none
45,no_choice,2,obb,new,none
45,no_choice,2,ogg,new,none
45,no_choice,2,oob,new,none
45,no_choice,2,pwp,new,none
45,no_choice,2,wbo,new,none
45,no_choice,2,wby,new,none
45,no_choice,2,woo,new,none
45,no_choice,3,bgo,dead,blue
45,no_choice,3,gwb,old,blue
45,no_choice,3,gyb,old,none
45,no_choice,3,oby,old,blue
45,no_choice,3,owo,old,blue
45,no_choice,3,oyw,old,blue
45,no_choice,3,wbw,dead,blue
45,no_choice,3,wgb,old,blue
45,no_choice,3,wog,old,none
45,no_choice,3,wwy,dead,blue
45,no_choice,3,wyo,old,blue
45,no_choice,3,ybo,old,blue
45,no_choice,3,ygw,old,blue
45,no_choice,3,yoy,old,blue
45,no_choice,3,ywg,old,blue
45,no_choice,3,yyb,old,none
45,no_choice,3,bbb,new,none
45,no_choice,3,bgy,new,blue
45,no_choice,3,bow,new,blue
45,no_choice,3,bwo,new,blue
45,no_choice,3,bww,new,none
45,no_choice,3,byb,new,none
45,no_choice,3,byy,new,none
45,no_choice,3,gbo,new,none
45,no_choice,3,ggw,new,blue
45,no_choice,3,ggy,new,none
45,no_choice,3,gog,new,blue
45,no_choice,3,gow,new,blue
45,no_choice,3,gwg,new,blue
45,no_choice,3,obb,new,none
45,no_choice,3,ogg,new,blue
45,no_choice,3,oob,new,blue
45,no_choice,3,pwp,new,none
45,no_choice,3,wbo,new,none
45,no_choice,3,wby,new,blue
45,no_choice,3,woo,new,none
47,no_choice,1,bbg,old,NA
47,no_choice,1,gby,old,NA
47,no_choice,1,ggg,old,NA
47,no_choice,1,gow,old,NA
47,no_choice,1,gwb,old,NA
47,no_choice,1,gyo,old,NA
47,no_choice,1,obb,old,NA
47,no_choice,1,ogw,old,NA
47,no_choice,1,ooo,old,NA
47,no_choice,1,owg,old,NA
47,no_choice,1,oyy,old,NA
47,no_choice,1,wbw,old,NA
47,no_choice,1,wgo,dead,NA
47,no_choice,1,wog,old,NA
47,no_choice,1,wwy,old,NA
47,no_choice,1,wyb,dead,NA
47,no_choice,1,ygy,old,NA
47,no_choice,1,yob,old,NA
47,no_choice,1,yww,old,NA
47,no_choice,1,yyg,old,NA
47,no_choice,1,g,old,NA
47,no_choice,1,bgb,new,NA
47,no_choice,1,bow,new,NA
47,no_choice,1,boy,new,NA
47,no_choice,1,bwo,new,NA
47,no_choice,1,byw,new,NA
47,no_choice,1,opo,new,NA
47,no_choice,1,wgg,new,NA
47,no_choice,1,wpw,new,NA
47,no_choice,1,ybo,new,NA
47,no_choice,2,bbg,old,blue
47,no_choice,2,gby,old,none
47,no_choice,2,ggg,old,none
47,no_choice,2,gow,old,blue
47,no_choice,2,gwb,old,none
47,no_choice,2,gyo,old,none
47,no_choice,2,obb,old,none
47,no_choice,2,ogw,old,blue
47,no_choice,2,ooo,old,none
47,no_choice,2,owg,old,blue
47,no_choice,2,oyy,old,blue
47,no_choice,2,wbw,old,blue
47,no_choice,2,wgo,dead,none
47,no_choice,2,wog,old,blue
47,no_choice,2,wwy,old,blue
47,no_choice,2,wyb,dead,blue
47,no_choice,2,ygy,old,none
47,no_choice,2,yob,old,blue
47,no_choice,2,yww,old,blue
47,no_choice,2,yyg,old,blue
47,no_choice,2,g,old,blue
47,no_choice,2,bgb,new,none
47,no_choice,2,bow,new,none
47,no_choice,2,boy,new,none
47,no_choice,2,bwo,new,none
47,no_choice,2,byw,new,none
47,no_choice,2,opo,new,none
47,no_choice,2,wgg,new,none
47,no_choice,2,wpw,new,none
47,no_choice,2,ybo,new,none
47,no_choice,3,bbg,old,yellow
47,no_choice,3,gby,old,none
47,no_choice,3,ggg,old,none
47,no_choice,3,gow,old,yellow
47,no_choice,3,gwb,old,yellow
47,no_choice,3,gyo,old,yellow
47,no_choice,3,obb,old,yellow
47,no_choice,3,ogw,old,yellow
47,no_choice,3,ooo,old,yellow
47,no_choice,3,owg,old,none
47,no_choice,3,oyy,old,yellow
47,no_choice,3,wbw,old,yellow
47,no_choice,3,wgo,dead,yellow
47,no_choice,3,wog,old,yellow
47,no_choice,3,wwy,old,yellow
47,no_choice,3,wyb,dead,yellow
47,no_choice,3,ygy,old,yellow
47,no_choice,3,yob,old,yellow
47,no_choice,3,yww,old,yellow
47,no_choice,3,yyg,old,none
47,no_choice,3,g,old,yellow
47,no_choice,3,bgb,new,none
47,no_choice,3,bow,new,none
47,no_choice,3,boy,new,none
47,no_choice,3,bwo,new,none
47,no_choice,3,byw,new,none
47,no_choice,3,opo,new,none
47,no_choice,3,wgg,new,none
