names
bbg
bbo
bgb
bgy
bog
boy
bwb
bwo
byo
byw
g
gby
ggg
gow
gpg
gwb
gwo
gwp
gyo
obb
ogw
ooo
ooy
opo
owg
oyy
pwp
wbw
wgo
wgp
wog
wpw
www
wwy
wyb
ybo
ygy
yob
yoo
yoy
yww
yyg
yyp
