"","V1","V2"
"1",348.877094972067,12
"2",162.184357541899,294.969072164948
"3",249.700784997036,366.874970352999
"4",193.893854748603,348
"5",215.63687150838,182.103092783505
"6",162.495051105642,79.9924103677248
"7",240.497206703911,136
"8",315.279329608939,255
"9",50,272
"10",316.36312849162,154
"11",76,207
"12",383.189944134078,309.19587628866
"13",131.716556791033,368
"14",173.301675977654,146
"15",276.284916201117,224.783505154639
"16",273.011173184358,46
"17",86.5977653631285,150
"18",313.699531261451,108.002673273144
"19",57.3351955307263,79.5363231455275
"20",235.078212290503,268
"21",132.698421112363,0
"22",411.972067039106,252.288659793814
"23",384.217877094972,281.690721649485
"24",328.284916201117,328
"25",71.7262569832402,297.814432989691
"26",413,310.144329896907
"27",413,281.690721649485
"28",339.122905027933,79
