"","V1","V2"
"1",159.165372316126,52.0175879396984
"2",101.322751322751,68.6666666666666
"3",185.768204659662,0
"4",39,287
"5",243.766474401511,289.926336721671
"6",105,103
"7",271.319095477387,209.623115577889
"8",300,139
"9",160,219
"10",205.94025974026,244.420634920635
"11",51.3968253968254,163.492063492063
"12",128.068783068783,304.095238095238
"13",74.3977846970548,13.9073072184904
"14",47.7814070351759,226.70351758794
"15",367,309
"16",310.268844221105,203.412060301507
"17",272.165829145729,31.8316582914572
"18",335.670854271357,45.0301507537689
"19",308.575376884422,83.8492462311557
"20",36.1272727272727,67.9641943734015
"21",107.38803940585,33.5765030649941
"22",30,134.880952380952
"23",207.383005938785,48.1356783919599
"24",344.372095349906,253.91247995145
"25",342.811550201623,308.11149161212
"26",343.591822775764,282.344748363605
"27",367,283.094992960643
