"","V1","V2"
"1",89,226.21359223301
"2",262.764705882353,70.0582524271845
"3",104.392156862745,132.155339805825
"4",145,157.883495145631
"5",275,202.446601941748
"6",139.764705882353,0
"7",102,292.563106796117
"8",309,165
"9",221,62
"10",206,251
"11",339.053868194842,87.6401727071606
"12",284.470588235294,123.398058252427
"13",173.529411764706,101.902912621359
"14",327.493982808023,28.462084841875
"15",343.969072164948,160.405164648183
"16",317.762886597938,269.23511160044
"17",212.117647058824,328
"18",234,217
"19",245.3563366655,6.36893203883494
"20",232.381443298969,289.326794114703
"21",65,116.036032429186
"22",169.14,279.280952857572
"23",374.271602283499,63.6754457949152
"24",371.150202664082,227.387669207275
"25",120.470588235294,172.757281553398
"26",302.546391752577,309.418476628966
"27",391.12716022835,182.96324677377
"28",373.647322359615,88.3556804801955
"29",391.12716022835,136.070800871737
"30",374.271602283499,38.995211109635
"31",371.774482587965,203.530109011504
"32",371.774482587965,158.28301208849
"33",392.375720076117,88.3556804801955
"34",391.751440152233,64.4981202844246
"35",393,38.1725366201256
"36",392.366066262861,113.322155000743
"37",390.502880304467,159.928361067508
"38",390.502880304467,204.352783501013
"39",371.150202664082,180.495223305242
"40",389.878600380583,226.564994717765
"41",372.398762511848,135.248126382228
"42",340.125272206304,215.445597589555
"43",373.023042435732,111.390566186457
