"","V1","V2"
"1",425,201.724894910398
"2",96,178
"3",164.325,31.9254156216073
"4",282,15.5972856889483
"5",297,322.343904238265
"6",112.585,107.600474872825
"7",398.76188365651,396.372845636124
"8",30,205.741567339247
"9",247.46,83.5242075922081
"10",64.825,0
"11",149,347.299561340582
"12",428,398
"13",243,367.05612321325
"14",185.305565726669,188.455391412891
"15",64.825,295.605700200068
"16",317,113.340276006358
"17",272,159.092314027273
"18",116,232.919466288295
"19",199,257
"20",428,347.558214719843
"21",423.501828254848,153.926845418597
"22",393.32,248.374148222372
"23",395.36,296.859424878303
"24",68,353
"25",425.750914127424,297.116429439686
"26",298,252.676028160962
"27",189,395
"28",35.97,89.8641328608206
"29",390.890083102493,201.114321971001
"30",425.750914127424,248.301798523406
"31",395.388254847645,347.558214719843
